country,year,exports,imports,gdp,net_exports
BDI,1960,24499997.97599,26249999.974275,195999989.80792,-1750001.9982849993
BDI,1961,26249999.974275,29749999.970845,202999991.80106,-3499999.9965699986
BDI,1962,27999999.97256,34999999.9657,213500005.79077,-6999999.993140001
BDI,1963,17499999.98285,33249999.967415,232749997.771905,-15749999.984565001
BDI,1964,36749999.963985,31500001.96913,260750007.744465,5249997.994855005
BDI,1965,16452740.7251411,19928888.8699933,158994962.812212,-3476148.1448521987
BDI,1966,17828571.4108447,21494857.1214851,165444571.264072,-3666285.7106404006
BDI,1967,19257142.8379958,21191999.9789291,178297142.679865,-1934857.1409332976
BDI,1968,18861714.2669604,24487999.9756519,183199999.817847,-5626285.7086915
BDI,1969,18371428.5531621,23004571.4056983,190205714.096595,-4633142.852536198
BDI,1970,25945142.831346,28207999.9719532,242732571.187226,-2262857.140607197
BDI,1971,21329142.8376419,35831999.9672393,252842285.483116,-14502857.1295974
BDI,1972,28961142.8571429,37205714.2857143,246804571.428571,-8244571.428571399
BDI,1973,33526568.9417243,40576770.2823583,304339522.636075,-7050201.340634003
BDI,1974,33674920.6349206,53633015.8730159,345263492.063492,-19958095.238095306
BDI,1975,34839365.0793651,79994920.6349206,420986666.666667,-45155555.5555555
BDI,1976,61551304.3478261,74673623.1884058,448412753.623188,-13122318.840579696
BDI,1977,96342222.2222222,94676666.6666667,547535555.555556,1665555.5555554926
BDI,1978,71443333.3333333,123426666.666667,610225555.555556,-51983333.3333337
BDI,1979,110822222.222222,177800000.0,782496666.666667,-66977777.777778
BDI,1980,81022222.2222222,214223333.333333,919726666.666667,-133201111.11111079
BDI,1981,88603333.3333333,213555555.555556,969046666.666667,-124952222.2222227
BDI,1982,103470000.0,272632222.222222,1013222222.22222,-169162222.22222197
BDI,1983,97956966.1108123,268000000.0,1082926304.46477,-170043033.8891877
BDI,1984,113561106.006182,232495196.72542,987143931.166987,-118934090.719238
BDI,1985,126803836.274753,239045071.671224,1149979285.77347,-112241235.396471
BDI,1986,140881024.787597,268172621.529298,1201725497.06578,-127291596.741701
BDI,1987,110260311.589511,291223994.011007,1131466494.01101,-180963682.421496
BDI,1988,136282900.38819,280918091.10011,1082403219.48787,-144635190.71192
BDI,1989,108560193.991189,255573911.399346,1113924130.41149,-147013717.408157
BDI,1990,89130244.3724271,314442789.991533,1132101252.51817,-225312545.61910588
BDI,1991,115775316.368525,332769069.983968,1167398478.3459,-216993753.61544302
BDI,1992,94756920.9276871,319246482.287821,1083037670.60484,-224489561.3601339
BDI,1993,88062144.1515651,254942339.37397,938632612.026359,-166880195.2224049
BDI,1994,95016968.8478329,263464979.043231,925030590.153683,-168448010.1953981
BDI,1995,129318804.202468,272899694.103893,1000428393.88528,-143580889.901425
BDI,1996,50580560.1981833,136902390.42114,869033856.317093,-86321830.22295669
BDI,1997,95688945.6506315,140485312.899106,972896267.915425,-44796367.24847449
BDI,1998,71499425.9063978,173751533.20374,893770740.207416,-102252107.2973422
BDI,1999,61217971.467102,129001348.569806,808077223.365746,-67783377.10270399
BDI,2000,55005758.5302566,141321270.48441,870486065.883137,-86315511.95415339
BDI,2001,45410971.2771723,138400674.414404,876794723.068586,-92989703.13723171
BDI,2002,38676370.9024088,140218229.171942,825394519.423728,-101541858.26953319
BDI,2003,50072047.4404685,164737396.316344,784654423.620476,-114665348.8758755
BDI,2004,63635537.873214,225367196.228575,915257323.3961,-161731658.35536098
BDI,2005,69261012.7928117,322845665.250624,1117113079.73645,-253584652.4578123
BDI,2006,92956380.7267365,446954652.535404,1273375078.44844,-353998271.80866754
